species,SLA,LeafArea,LeafThickness,SLV,LeafTissueDens,SRL,SRV,RootTissueDens,RootDiam
Hesperostipa_comata_ssp._comata,154.7230978,1.274073809,0.241904762,36.65573641,0.028232237,110.3765069,3.229070945,0.33136934,0.218357143
Hesperostipa_spartea,122.7096558,2.572266667,0.293333333,35.66421403,0.028078851,55.51468701,2.624914936,0.393143677,0.2496
Heterotheca_villosa,152.1771429,1.7754,0.376666667,57.32005714,0.0174459,104.5839676,3.967611336,0.252040816,0.2195
Heuchera_richardsonii,155.8185741,27.19265,0.338333334,52.58170779,0.019143677,91.23542858,2.892857143,0.35,0.2062
Hymenoxys_richardsonii,130.8421053,1.574466667,0.953333333,124.7361404,0.008016923,69.08732057,4.306220096,0.232222222,0.2824
Koeleria_macrantha,137.2335393,1.394448611,0.300277778,40.24604967,0.025368855,124.6730738,2.41918937,0.429291245,0.170316667
Krascheninnikovia_lanata,93.77309984,0.257895,0.374166667,34.5935982,0.03148507,79.60651137,3.050897454,0.340208334,0.245475
Lactuca_tatarica_var._pulchella,199.4308771,7.970783333,0.332083333,66.24649059,0.016311718,77.19169246,5.921012141,0.213227444,0.336325
Lathyrus_venosus,272.1146216,12.34493333,0.2,54.42292432,0.01837461,46.82957143,5.142857143,0.194444444,0.3725
Lepidium_densiflorum,173.6150948,0.99936,0.224333334,39.53482543,0.027678156,95.54231977,1.943573668,0.516666667,0.16555
Linum_lewisii,286.8,0.1912,0.273333333,78.392,0.012756404,59.97475,3.5,0.285714286,0.2686
Machaeranthera_pinnatifida_var._pinnatifida,189.488764,1.1243,0.41,77.69039326,0.012871604,115.7175,9.375,0.106666667,0.3163
Musineon_divaricatum,142.5953314,17.83028333,0.418333333,59.7407635,0.016887982,35.51308466,5.112356054,0.223564815,0.5138
Nassella_viridula,133.9487174,4.480666667,0.236666667,32.04348318,0.036012769,54.89286067,2.135323586,0.517363388,0.23675
Oligoneuron_rigidum_var._rigidum,177.4279524,8.282283335,0.250833334,44.39628868,0.022914932,29.24214286,4.810448451,0.226523948,0.5009
Orthocarpus_luteus,371.2727273,0.65344,0.204,75.73963636,0.013203127,84.3705,3,0.333333333,0.2062
Oxytropis_sericea,189.3848268,4.560316667,0.278333333,51.94179292,0.019353615,96.65464706,6.05882353,0.183928572,0.28185
Penstemon_confertus,148.0351906,1.682666667,0.23,34.04809384,0.02937022,79.9436,5.2,0.192307692,0.2895
Penstemon_nitidus,156.8717949,1.8354,0.455,71.37666667,0.014010181,25.85325301,2.168674699,0.461111111,0.3264
Penstemon_procerus,156.5624875,3.964070834,0.240416667,37.66685865,0.026680746,47.66951299,5.602453103,0.178505747,0.39055
Phlox_hoodii,90.86875584,0.08753,0.3075,34.8229439,0.051880749,107.0545926,5.777777778,0.180454545,0.2647
Plantago_patagonica,290.4735023,0.223372222,0.257777778,71.56873272,0.021718669,171.778132,3.378505552,0.406666667,0.173233333
Poa_cusickii,228.5837707,0.876666667,0.153333333,32.87420068,0.030953445,134.2380045,2.80783348,0.35709192,0.1684
Poa_pratensis,154.9571527,2.493764167,0.203166667,31.47625967,0.032988851,153.9693949,2.198917792,0.485522508,0.14389
Poa_secunda,155.8115116,0.484977778,0.219722222,33.8449474,0.040044773,142.6318101,3.096057096,0.360570292,0.164
Potentilla_arguta,264.4364399,28.28396111,0.358888889,92.78842675,0.013485563,75.53636732,2.267608812,0.554586835,0.282633333
Pulsatilla_patens,174.2028692,12.76725833,0.275833333,47.29632132,0.022066787,33.15708162,2.832532778,0.359426374,0.36985
Rosa_arkansana,141.2147051,11.02567963,0.24037037,33.77202255,0.031999858,41.52607134,2.61719343,0.421153994,0.30555
Solidago_missouriensis,181.8591432,4.765695834,0.255888889,45.31152937,0.023521058,100.2127031,6.665566135,0.208174196,0.323716667
Sphaeralcea_coccinea,123.7609843,2.7979,0.372,46.05115432,0.022081766,65.5839699,3.478154148,0.312666667,0.3163
Symphoricarpos_occidentalis,130.931804,7.792983335,0.248333333,32.436129,0.032397996,49.10063542,3.09241865,0.337326723,0.302883333
Symphyotrichum_ciliolatum,168.8580171,9.197133333,0.343333333,57.97458588,0.017248937,111.1369355,2.741935484,0.364705882,0.1754
Symphyotrichum_ericoides_var._ericoides,199.237931,1.15558,0.39,77.7027931,0.01286955,126.51,6.5,0.153846154,0.2526
Symphyotrichum_falcatum_var._falcatum,148.6562192,1.293127,0.460694445,65.15643037,0.015536341,62.50155501,4.565655592,0.234944544,0.31118
Symphyotrichum_laeve_var._laeve,166.6962777,7.12692,0.273333333,44.88407257,0.022772909,34.02240493,3.247562616,0.400216383,0.3481
Taraxacum_officinale,274.2424643,5.071883333,0.228888889,62.56677592,0.015988279,101.6822583,3.71031746,0.295555556,0.2162
Thermopsis_rhombifolia,135.375626,9.367151852,0.318888889,43.39875321,0.024519114,103.9024606,4.935886232,0.272450855,0.248125
Tragopogon_dubius,152.9354042,11.3478,0.333333333,51.42058573,0.020281476,114.6341667,6.642857143,0.178846154,0.2848
Vicia_americana,188.4386737,5.66891,0.228,43.05181683,0.026299971,112.4390157,7.195924887,0.163035714,0.33354
Viola_adunca,531.1348673,0.944916667,0.218333334,110.3209853,0.012440623,83.2199336,2.857636967,0.357352941,0.24115
Zigadenus_venenosus,147.0491357,2.902133333,0.393333334,57.23810935,0.017476845,82.315,8.125,0.123076923,0.3483
